"Activities"	"Subject"	"mean"	"sd"
"1"	"Laying"	1	-0.607522391836014	0.542294404739403
"2"	"Laying"	2	-0.639973837827844	0.543318302012276
"3"	"Laying"	3	-0.641445804875381	0.53124691328834
"4"	"Laying"	4	-0.630875080725603	0.538918856382756
"5"	"Laying"	5	-0.631793505517319	0.544391929156741
"6"	"Laying"	6	-0.619421431071453	0.533051183737078
"7"	"Laying"	7	-0.628303269447471	0.542283798100629
"8"	"Laying"	8	-0.627089533537997	0.54552114969283
"9"	"Laying"	9	-0.628414047268328	0.530063039309266
"10"	"Laying"	10	-0.633606314208568	0.538143814511992
"11"	"Laying"	11	-0.643553031373099	0.539562164233576
"12"	"Laying"	12	-0.63012919397725	0.528718342661708
"13"	"Laying"	13	-0.624337936876007	0.553755547011914
"14"	"Laying"	14	-0.628355645282404	0.529959358732366
"15"	"Laying"	15	-0.639883147448173	0.531265854159869
"16"	"Laying"	16	-0.635906117499551	0.540805566032016
"17"	"Laying"	17	-0.629876420657766	0.544111902566298
"18"	"Laying"	18	-0.645039855011435	0.539909038662556
"19"	"Laying"	19	-0.632999218754884	0.546461684255782
"20"	"Laying"	20	-0.644397438696908	0.532311298923294
"21"	"Laying"	21	-0.63110876443376	0.543398484551232
"22"	"Laying"	22	-0.632109081483277	0.534082415245892
"23"	"Laying"	23	-0.628089473591726	0.551576627950253
"24"	"Laying"	24	-0.634203387560794	0.541737906273239
"25"	"Laying"	25	-0.589506698496036	0.545450415711338
"26"	"Laying"	26	-0.640679888089531	0.545536215521252
"27"	"Laying"	27	-0.645993647892745	0.539991225164833
"28"	"Laying"	28	-0.640518710327799	0.530976406623764
"29"	"Laying"	29	-0.646324698842316	0.547384622922697
"30"	"Laying"	30	-0.642625296795821	0.529010124054845
"31"	"Sitting"	1	-0.633405230612481	0.546477904027143
"32"	"Sitting"	2	-0.640597914078914	0.536914141147994
"33"	"Sitting"	3	-0.622780836987975	0.535481364875035
"34"	"Sitting"	4	-0.627074988752137	0.530636923654938
"35"	"Sitting"	5	-0.627014833570021	0.531734627480468
"36"	"Sitting"	6	-0.625412957710496	0.528560255624084
"37"	"Sitting"	7	-0.628833138374792	0.536419278331034
"38"	"Sitting"	8	-0.637726458982249	0.537875923565333
"39"	"Sitting"	9	-0.627530823653232	0.524475751851574
"40"	"Sitting"	10	-0.640078551091241	0.542251226544214
"41"	"Sitting"	11	-0.636081608692102	0.53609946156127
"42"	"Sitting"	12	-0.636301750626951	0.52622870168125
"43"	"Sitting"	13	-0.638179130162868	0.543066636603673
"44"	"Sitting"	14	-0.639930771868791	0.5280379685885
"45"	"Sitting"	15	-0.641496217339585	0.537109906202275
"46"	"Sitting"	16	-0.642254023210701	0.540660946111618
"47"	"Sitting"	17	-0.643707360983648	0.54709797498025
"48"	"Sitting"	18	-0.650240242162375	0.534395879168263
"49"	"Sitting"	19	-0.638986666530727	0.53209411177613
"50"	"Sitting"	20	-0.639872725383092	0.527767117830281
"51"	"Sitting"	21	-0.644724493205524	0.534193252488579
"52"	"Sitting"	22	-0.634015600138589	0.532022049722643
"53"	"Sitting"	23	-0.632843540612456	0.543059200310429
"54"	"Sitting"	24	-0.646619496620551	0.526925830839725
"55"	"Sitting"	25	-0.645307467575153	0.534204894318477
"56"	"Sitting"	26	-0.642718508921569	0.538163762448172
"57"	"Sitting"	27	-0.647329814034974	0.533984958770938
"58"	"Sitting"	28	-0.637322526513564	0.523550153103677
"59"	"Sitting"	29	-0.644100724926612	0.54030786087254
"60"	"Sitting"	30	-0.646017901904583	0.532835681402282
"61"	"Standing"	1	-0.647424789141436	0.542181337789553
"62"	"Standing"	2	-0.636454993012462	0.536059426538189
"63"	"Standing"	3	-0.626824657789309	0.523981202663951
"64"	"Standing"	4	-0.618583772157932	0.530351097607765
"65"	"Standing"	5	-0.618821537531601	0.526482578726867
"66"	"Standing"	6	-0.629253160586122	0.524918864445532
"67"	"Standing"	7	-0.63369010626409	0.528953245701607
"68"	"Standing"	8	-0.639463722621354	0.537725697835807
"69"	"Standing"	9	-0.633713631013694	0.526030674232032
"70"	"Standing"	10	-0.630886542166037	0.526755493498941
"71"	"Standing"	11	-0.648374467923916	0.536202658765753
"72"	"Standing"	12	-0.627684013763497	0.530219182625889
"73"	"Standing"	13	-0.639297749080434	0.535187318003595
"74"	"Standing"	14	-0.633771114374627	0.530378924305392
"75"	"Standing"	15	-0.640037091389994	0.53194178615701
"76"	"Standing"	16	-0.646538416475197	0.536027968915291
"77"	"Standing"	17	-0.644675070329398	0.541386142783106
"78"	"Standing"	18	-0.645518459042212	0.53099975134502
"79"	"Standing"	19	-0.640136697217531	0.531159784474125
"80"	"Standing"	20	-0.620027732157146	0.523601719784163
"81"	"Standing"	21	-0.638450214241584	0.528022506329555
"82"	"Standing"	22	-0.635992094486953	0.529999769322386
"83"	"Standing"	23	-0.637024168810267	0.531088424136574
"84"	"Standing"	24	-0.634194893841734	0.53344655282101
"85"	"Standing"	25	-0.645297950751058	0.528500727750385
"86"	"Standing"	26	-0.644004547265191	0.533694523050013
"87"	"Standing"	27	-0.644356212162637	0.535052504532977
"88"	"Standing"	28	-0.627883524309929	0.519990161399115
"89"	"Standing"	29	-0.650245278868483	0.536209908171482
"90"	"Standing"	30	-0.630635453342216	0.527699114956464
"91"	"Walking"	1	-0.319105810200331	0.452722654264638
"92"	"Walking"	2	-0.385708093716054	0.471751410540144
"93"	"Walking"	3	-0.386865862874514	0.47042947054323
"94"	"Walking"	4	-0.43055661483918	0.485536384535955
"95"	"Walking"	5	-0.378535121986988	0.471349048704243
"96"	"Walking"	6	-0.337513362522582	0.462995436937977
"97"	"Walking"	7	-0.306764482858546	0.458658161670587
"98"	"Walking"	8	-0.299755499867352	0.46042789591661
"99"	"Walking"	9	-0.37164660578822	0.467267674726799
"100"	"Walking"	10	-0.327086776127028	0.459226854544395
"101"	"Walking"	11	-0.431366510871248	0.4778994116884
"102"	"Walking"	12	-0.355560155447154	0.465934707083466
"103"	"Walking"	13	-0.316988827925179	0.460854393995368
"104"	"Walking"	14	-0.385501824502105	0.460095719296736
"105"	"Walking"	15	-0.390526282476396	0.470930092491822
"106"	"Walking"	16	-0.431362808379042	0.477181248917123
"107"	"Walking"	17	-0.387039462708526	0.471340331643968
"108"	"Walking"	18	-0.436306077297177	0.474007929974224
"109"	"Walking"	19	-0.238252786596887	0.441222720223505
"110"	"Walking"	20	-0.259518117088663	0.458475195837703
"111"	"Walking"	21	-0.330648706245588	0.462261283553448
"112"	"Walking"	22	-0.274200987116311	0.460010818917144
"113"	"Walking"	23	-0.265296718829829	0.464098141308726
"114"	"Walking"	24	-0.416975175176002	0.473945996502654
"115"	"Walking"	25	-0.460842122215599	0.482757503377511
"116"	"Walking"	26	-0.392008755561813	0.465080130468016
"117"	"Walking"	27	-0.377771272094104	0.468490345338959
"118"	"Walking"	28	-0.393787255237739	0.468082416558165
"119"	"Walking"	29	-0.352894943404783	0.459750416503951
"120"	"Walking"	30	-0.373607524126774	0.458741626903586
"121"	"Walking Downstairs"	1	-0.297226292824001	0.455514566936833
"122"	"Walking Downstairs"	2	-0.259677293061387	0.465729490758389
"123"	"Walking Downstairs"	3	-0.350536138554404	0.471565414517055
"124"	"Walking Downstairs"	4	-0.363790441016887	0.485503779291866
"125"	"Walking Downstairs"	5	-0.296901580091929	0.479605858322798
"126"	"Walking Downstairs"	6	-0.198922424840441	0.478007541818861
"127"	"Walking Downstairs"	7	-0.317129508211319	0.473530402086289
"128"	"Walking Downstairs"	8	-0.19351985419359	0.458724749672543
"129"	"Walking Downstairs"	9	-0.313140747277053	0.475828264325837
"130"	"Walking Downstairs"	10	-0.263162073365728	0.463337371199746
"131"	"Walking Downstairs"	11	-0.348717448293558	0.477173185821431
"132"	"Walking Downstairs"	12	-0.311490436338625	0.479102128871457
"133"	"Walking Downstairs"	13	-0.317234723087439	0.463191730560919
"134"	"Walking Downstairs"	14	-0.203378373864087	0.474784640200934
"135"	"Walking Downstairs"	15	-0.280227328116279	0.478913470640684
"136"	"Walking Downstairs"	16	-0.339080301791712	0.480317131361736
"137"	"Walking Downstairs"	17	-0.365194496888334	0.482880088421838
"138"	"Walking Downstairs"	18	-0.438663811185222	0.484648090481038
"139"	"Walking Downstairs"	19	-0.078306398113335	0.493267285356331
"140"	"Walking Downstairs"	20	-0.247169665420288	0.471620332044863
"141"	"Walking Downstairs"	21	-0.291301975673511	0.475622056333089
"142"	"Walking Downstairs"	22	-0.287664837258693	0.477672679039378
"143"	"Walking Downstairs"	23	-0.20246554081645	0.4574307312881
"144"	"Walking Downstairs"	24	-0.359085991984149	0.472990421003547
"145"	"Walking Downstairs"	25	-0.429924410531157	0.48048742191466
"146"	"Walking Downstairs"	26	-0.322473123490661	0.467151493916604
"147"	"Walking Downstairs"	27	-0.312446129792811	0.47435384225082
"148"	"Walking Downstairs"	28	-0.291650876955502	0.46256315184821
"149"	"Walking Downstairs"	29	-0.31726279115201	0.466798126904517
"150"	"Walking Downstairs"	30	-0.358790607945901	0.464525701807421
"151"	"Walking Upstairs"	1	-0.40699661814598	0.484862873610122
"152"	"Walking Upstairs"	2	-0.363983305102955	0.466703992931453
"153"	"Walking Upstairs"	3	-0.424274671811149	0.483280166456723
"154"	"Walking Upstairs"	4	-0.415260374462441	0.482342658990012
"155"	"Walking Upstairs"	5	-0.356353464901252	0.471016513212762
"156"	"Walking Upstairs"	6	-0.330642340129316	0.464916100757488
"157"	"Walking Upstairs"	7	-0.427408293255387	0.478967138009984
"158"	"Walking Upstairs"	8	-0.293377815632218	0.464582765249912
"159"	"Walking Upstairs"	9	-0.427075431896002	0.480856175330876
"160"	"Walking Upstairs"	10	-0.345652600356602	0.463053071179259
"161"	"Walking Upstairs"	11	-0.43527506672087	0.494681275282595
"162"	"Walking Upstairs"	12	-0.42179157558609	0.4801841508273
"163"	"Walking Upstairs"	13	-0.411582073864772	0.481399962634359
"164"	"Walking Upstairs"	14	-0.285486358859423	0.511997359659549
"165"	"Walking Upstairs"	15	-0.393720911542089	0.481360338460772
"166"	"Walking Upstairs"	16	-0.440146451770759	0.485215967490382
"167"	"Walking Upstairs"	17	-0.401431355861112	0.479425823691872
"168"	"Walking Upstairs"	18	-0.470681472754459	0.490071688258084
"169"	"Walking Upstairs"	19	-0.316821118319495	0.457959800536126
"170"	"Walking Upstairs"	20	-0.338291941451443	0.467024672485213
"171"	"Walking Upstairs"	21	-0.381967006088137	0.473554737531349
"172"	"Walking Upstairs"	22	-0.305185521541175	0.468928019106076
"173"	"Walking Upstairs"	23	-0.369581312588007	0.467164879388163
"174"	"Walking Upstairs"	24	-0.43583828688532	0.474251576812081
"175"	"Walking Upstairs"	25	-0.48551223324769	0.493089266961923
"176"	"Walking Upstairs"	26	-0.41167278243368	0.480136846789247
"177"	"Walking Upstairs"	27	-0.426267052017458	0.48671284301688
"178"	"Walking Upstairs"	28	-0.401092965937606	0.473584351968701
"179"	"Walking Upstairs"	29	-0.364429747315138	0.485009059372236
"180"	"Walking Upstairs"	30	-0.439370730188029	0.489520080840848
